,library,max_iter,n,time
0,tensorflow-eager,100,1000,5.3882598876953125e-05
1,tensorflow-eager,100,1000,1.0013580322265625e-05
2,tensorflow-eager,100,1000,5.9604644775390625e-06
3,tensorflow-eager,100,1000,5.0067901611328125e-06
4,tensorflow-eager,100,1000,5.245208740234375e-06
5,tensorflow-eager,100,1000,4.76837158203125e-06
6,tensorflow-eager,100,1000,9.059906005859375e-06
7,tensorflow-eager,100,1000,6.198883056640625e-06
8,tensorflow-eager,100,1000,3.814697265625e-06
9,tensorflow-eager,100,1000,4.0531158447265625e-06
10,tensorflow-eager,100,1000,3.814697265625e-06
11,tensorflow-eager,100,1000,5.0067901611328125e-06
12,tensorflow-eager,100,1000,4.76837158203125e-06
13,tensorflow-eager,100,1000,3.814697265625e-05
14,tensorflow-eager,100,1000,1.0967254638671875e-05
15,tensorflow-eager,100,1000,5.7220458984375e-06
16,tensorflow-eager,100,1000,5.0067901611328125e-06
17,tensorflow-eager,100,1000,4.76837158203125e-06
18,tensorflow-eager,100,1000,4.0531158447265625e-06
19,tensorflow-eager,100,1000,3.814697265625e-06
20,tensorflow-eager,100,1000,4.0531158447265625e-06
21,tensorflow-eager,100,1000,3.814697265625e-06
22,tensorflow-eager,100,1000,5.245208740234375e-06
23,tensorflow-eager,100,1000,5.0067901611328125e-06
24,tensorflow-eager,100,1000,4.76837158203125e-06
25,tensorflow-eager,100,1000,1.2159347534179688e-05
26,tensorflow-eager,100,1000,5.9604644775390625e-06
27,tensorflow-eager,100,1000,5.0067901611328125e-06
28,tensorflow-eager,100,1000,5.0067901611328125e-06
29,tensorflow-eager,100,1000,5.0067901611328125e-06
30,tensorflow-eager,100,1000,1.0013580322265625e-05
31,tensorflow-eager,100,1000,5.9604644775390625e-06
32,tensorflow-eager,100,1000,5.245208740234375e-06
33,tensorflow-eager,100,1000,3.814697265625e-06
34,tensorflow-eager,100,1000,4.291534423828125e-06
35,tensorflow-eager,100,1000,3.814697265625e-06
36,tensorflow-eager,100,1000,5.245208740234375e-06
37,tensorflow-eager,100,1000,4.76837158203125e-06
38,tensorflow-eager,100,1000,5.245208740234375e-06
39,tensorflow-eager,100,1000,4.76837158203125e-06
40,tensorflow-eager,100,1000,5.0067901611328125e-06
41,tensorflow-eager,100,1000,8.821487426757812e-06
42,tensorflow-eager,100,1000,6.9141387939453125e-06
43,tensorflow-eager,100,1000,7.867813110351562e-06
44,tensorflow-eager,100,1000,8.344650268554688e-06
45,tensorflow-eager,100,1000,6.9141387939453125e-06
46,tensorflow-eager,100,1000,7.867813110351562e-06
47,tensorflow-eager,100,1000,6.9141387939453125e-06
48,tensorflow-eager,100,1000,8.106231689453125e-06
49,tensorflow-eager,100,1000,8.106231689453125e-06
50,tensorflow-eager,100,1000,6.9141387939453125e-06
51,tensorflow-eager,100,1000,8.106231689453125e-06
52,tensorflow-eager,100,1000,6.9141387939453125e-06
53,tensorflow-eager,100,1000,8.106231689453125e-06
54,tensorflow-eager,100,1000,1.3828277587890625e-05
55,tensorflow-eager,100,1000,1.0013580322265625e-05
56,tensorflow-eager,100,1000,7.867813110351562e-06
57,tensorflow-eager,100,1000,5.245208740234375e-06
