,time,n,max_iter,library,version,np_version
0,0.0003694579999999892,1000,100,torch,1.4.0,1.19.0
1,2.6639999999300557e-06,1000,100,torch,1.4.0,1.19.0
2,1.1179999999111345e-06,1000,100,torch,1.4.0,1.19.0
3,9.789999999565424e-07,1000,100,torch,1.4.0,1.19.0
4,1.0409999999794195e-06,1000,100,torch,1.4.0,1.19.0
5,8.590000000197051e-07,1000,100,torch,1.4.0,1.19.0
6,6.340000000548685e-07,1000,100,torch,1.4.0,1.19.0
7,5.929999999931823e-07,1000,100,torch,1.4.0,1.19.0
8,6.050000000978883e-07,1000,100,torch,1.4.0,1.19.0
9,6.159999998978094e-07,1000,100,torch,1.4.0,1.19.0
10,6.060000001806287e-07,1000,100,torch,1.4.0,1.19.0
11,5.990000000455353e-07,1000,100,torch,1.4.0,1.19.0
12,6.139999999543733e-07,1000,100,torch,1.4.0,1.19.0
13,6.04000000015148e-07,1000,100,torch,1.4.0,1.19.0
14,5.869999999408293e-07,1000,100,torch,1.4.0,1.19.0
15,6.359999999983046e-07,1000,100,torch,1.4.0,1.19.0
16,5.950000001586631e-07,1000,100,torch,1.4.0,1.19.0
17,6.019999998496672e-07,1000,100,torch,1.4.0,1.19.0
18,6.280000000025154e-07,1000,100,torch,1.4.0,1.19.0
19,5.8900000010631e-07,1000,100,torch,1.4.0,1.19.0
20,5.809999998884763e-07,1000,100,torch,1.4.0,1.19.0
21,6.289999998632112e-07,1000,100,torch,1.4.0,1.19.0
22,5.960000000193588e-07,1000,100,torch,1.4.0,1.19.0
23,6.240000001156432e-07,1000,100,torch,1.4.0,1.19.0
24,5.800000000277805e-07,1000,100,torch,1.4.0,1.19.0
25,5.949999999366185e-07,1000,100,torch,1.4.0,1.19.0
26,5.880000000235697e-07,1000,100,torch,1.4.0,1.19.0
27,5.960000000193588e-07,1000,100,torch,1.4.0,1.19.0
28,5.969999998800546e-07,1000,100,torch,1.4.0,1.19.0
29,5.910000000497462e-07,1000,100,torch,1.4.0,1.19.0
30,9.389999999775966e-07,1000,100,torch,1.4.0,1.19.0
31,1.0200000000182285e-06,1000,100,torch,1.4.0,1.19.0
32,9.039999999682635e-07,1000,100,torch,1.4.0,1.19.0
33,1.0030000001659545e-06,1000,100,torch,1.4.0,1.19.0
34,1.0849999998452375e-06,1000,100,torch,1.4.0,1.19.0
35,9.679999999345767e-07,1000,100,torch,1.4.0,1.19.0
36,7.699999999832841e-07,1000,100,torch,1.4.0,1.19.0
37,6.219999999501624e-07,1000,100,torch,1.4.0,1.19.0
38,6.089999999847606e-07,1000,100,torch,1.4.0,1.19.0
39,5.97999999962795e-07,1000,100,torch,1.4.0,1.19.0
40,5.97999999962795e-07,1000,100,torch,1.4.0,1.19.0
41,6.249999999763389e-07,1000,100,torch,1.4.0,1.19.0
42,6.050000000978883e-07,1000,100,torch,1.4.0,1.19.0
43,6.330000001941727e-07,1000,100,torch,1.4.0,1.19.0
44,6.129999998716329e-07,1000,100,torch,1.4.0,1.19.0
45,6.399999998851769e-07,1000,100,torch,1.4.0,1.19.0
46,6.029999999324076e-07,1000,100,torch,1.4.0,1.19.0
47,5.960000000193588e-07,1000,100,torch,1.4.0,1.19.0
48,5.800000000277805e-07,1000,100,torch,1.4.0,1.19.0
49,5.990000000455353e-07,1000,100,torch,1.4.0,1.19.0
50,5.819999999712167e-07,1000,100,torch,1.4.0,1.19.0
51,5.97999999962795e-07,1000,100,torch,1.4.0,1.19.0
52,5.840000001366974e-07,1000,100,torch,1.4.0,1.19.0
53,6.080000001240649e-07,1000,100,torch,1.4.0,1.19.0
54,8.879999999766852e-07,1000,100,torch,1.4.0,1.19.0
55,1.0059999999700864e-06,1000,100,torch,1.4.0,1.19.0
56,8.709999999023665e-07,1000,100,torch,1.4.0,1.19.0
57,8.88999999837381e-07,1000,100,torch,1.4.0,1.19.0
58,9.56999999912611e-07,1000,100,torch,1.4.0,1.19.0
59,9.659999999911406e-07,1000,100,torch,1.4.0,1.19.0
60,9.73000000126234e-07,1000,100,torch,1.4.0,1.19.0
