,d,library,n,repeats,result,result_norm,seed,time
0,10,pytorch,100,9738,"[ -19.82948774   83.36179064  129.52484848 -129.45599577 -147.59318086
  165.11533299   27.2627309  -363.60638988 -410.72232626 -103.74194467]",634.2971242185994,42,7.176399230957031e-05
1,19,pytorch,190,7476,"[-137.7439862    72.4675421   158.42001397  -43.91080297 -139.89812302
  200.55432472   -3.65448205   32.56365496  -14.29461947  -31.30851454
  110.10632542  -12.57718469 -152.72834922 -193.36552155 -115.59836251
 -112.88357616  114.07583896   87.84815903 -135.98571109]",501.62535108201666,42,8.606910705566406e-05
2,39,pytorch,390,7451,"[  74.61010544   62.08753639  131.37568846  -49.10640306  122.83785277
  -72.33835886  -29.55831253 -129.56195967   21.80765258  -33.66171576
   49.57339046  -28.22371707   25.21154718    2.14181667   -1.56420875
  -25.61769431   45.36665933  -48.98174618   80.65735665   70.81523732
   25.10827129 -170.64207065 -129.27562441  -30.54388571 -132.25749111
   83.47330969   45.56954255   -0.41870552  -36.69275802   53.17995791
   95.59325354  -34.02716873    5.03019829  -64.45306372  128.88420712
   21.18415155    5.54335214  161.62344758  -25.97537951]",475.0602111531221,42,9.083747863769531e-05
3,79,pytorch,790,6617,"[  47.02842496  -36.16306077  -44.72935421   13.00762749   90.59366379
  -37.38033534   74.6781931   -37.60615533   38.19899496  -16.6088744
   37.74817327   10.14415336    5.56559046   30.59342965  -12.67410073
   53.2724389    22.36261871   -2.22956088  -66.58505492   71.98131335
  -35.17386072   64.36590704  -23.13877858  -78.47285771   10.1754834
    9.82662544  -43.89962106  -21.31105711  -35.27482042  -11.01699686
  -10.52895129 -117.51433649    2.83698023    7.6096538    12.14551354
   19.42925072   73.05482743   84.33971705  -40.89819265 -104.24090687
  -11.44507225  -55.21936015  -72.95912649    1.26647233   -2.68937182
  -32.56761629  -48.02288089  -46.38990805   78.94979371  -81.50033335
  -25.58079442   -7.18049804   -4.35924772   51.70037037   26.44413076
   -1.14018418   94.6291998    21.4376829   -66.6341023   -39.01122631
   10.10806714   29.70148987   30.8407168   -36.51989655  -46.56703168
   39.24552994  -10.90116806  142.4270229   -30.32560269   19.14618012
   86.21585616   55.36141857   -7.86726172   34.54327083  -83.97318022
  -46.41005033   -6.34595321   49.03123457   -1.43724105]",440.0099382905979,42,0.00010776519775390625
4,158,pytorch,1580,3285,"[-20.79353677  16.53650868 -23.62781108   6.94128186  17.67268245
  -1.94404537   7.60404744  14.28260895 -19.78683748   1.21593185
  17.43485716  -9.30807178  -2.77855538  11.21025216  -2.08959006
   5.8771988   30.13379173  -6.45742066   3.71643046  14.61313183
  -8.9749443  -20.23921709  -0.78382376  -5.21822579  29.64675424
 -16.34087975  -0.83018537  16.81827565  10.3024133  -32.69067233
  13.69924588   0.04583169  18.23156733  17.84658286 -12.01422109
   5.94492802   7.86691279  -2.9090864    8.9767387    1.80937776
 -33.87699508  -4.72150329  16.24908245 -14.01732188 -10.06856809
  -0.95298164 -13.91295212 -25.69923007 -31.22167741  28.34786542
 -33.24151843  -8.27662831  14.20739437  -9.05300853   9.78494081
   0.40453404  -8.85168693  17.5931027  -34.87526136   5.7397357
  11.48842122  15.56821091   1.07951631 -17.40619677  13.88275266
 -27.05965972  14.64655122  21.68395812  -1.57716114   0.67897751
   0.55286705   6.19694211  -5.45475935   2.67903993  16.85360978
 -12.9965049   15.96558274   3.87626455 -16.1246013  -15.88510119
  20.77252051  -6.13053943  -6.21798465  17.99973503  -0.25336764
   9.152215    -8.05113567 -23.54896799  -1.90735027  -3.76707901
  -7.78278982  12.52649638 -13.3307434  -14.11056037 -37.34438634
  10.9174431   -1.50569544  30.80179002  16.9609116  -23.29615949
   2.37798798  31.29016828  16.13957186  -8.68884209  -9.75613759
  17.29138718 -38.65738857  16.84112393   1.17391198  -3.41552127
  -7.83856413 -16.59192799  -4.33931734  15.98611934  19.56500226
  -4.56733103  28.74438393  13.179185     0.70744111  21.19216805
  -3.30317561 -11.18488266  -2.04130294 -30.09542999  12.91779834
  13.73154242  20.5692648  -12.68790384  -6.50239077  -5.56519186
  -4.3968587   -4.56913946  -8.51531055 -11.08987338  23.94043118
   3.73746956  -0.86773098 -20.63244911  -1.17353225   1.26622213
   2.73847028 -37.93737966   4.12009818  -5.6780478  -21.31505508
  10.58652561  -9.5861691   -7.17175032  16.43516443   6.56400851
  -3.98081053  25.50434735   2.89372412 -14.63322072 -15.26232913
 -13.71951755 -19.36543965   0.40456299]",195.96670290486355,42,0.000225067138671875
5,315,pytorch,3150,712,"[ 1.18786889 -1.56381896 -4.44772235 -1.8251838  -2.63122611  2.84394952
 -0.1404964  -1.91890756  3.13615238 -0.43915858  0.15620384  0.71052832
 -2.28150067 -0.77062842  6.20413941  0.88570809  1.72554807 -4.09119464
  2.14030826 -2.03949399 -1.24516366  4.88854554  2.43341695 -3.71305725
 -7.26123315  1.50227336  0.36385117 -1.53734599  5.31803876  0.59267743
 -1.10499628  3.99186934  3.53598824 -0.30295122 -0.24145919  6.61323442
  1.46275824 -5.12361144 -1.54966021 -0.72488631 -2.77571884  2.59751362
 -2.29921296  0.98573887 -0.30633664 -7.68409963  1.53084995 -0.64633676
 -7.82351272 -1.89574063 -0.16088526 -2.33698976 -0.84890101 -0.48730487
  2.10509753 -0.89369275 -1.09693321  2.75229171  1.75671416 -0.41070926
 -1.86811484  5.27048629  2.47271552  2.18580608  3.2192706  -0.6170463
 -2.15136787  4.57839564  2.91746008  0.22268029 -1.6557487  -0.57183732
 -2.56222612 -1.88592762  0.65180413 -3.10429093 -1.95114432 -0.23185393
 -0.55496523  1.88011447 -3.43960041  1.69773512  0.40109487 -3.58687108
  1.16464483  2.45848707  0.85697183  1.9262483  -0.04678327 -0.96704148
 -0.74163133  0.13159864 -2.0803233   0.80641763 -1.09238048  0.64215409
  1.80999211 -1.18473223  1.30432768 -0.29830012  0.2520326   1.43639462
  0.40907158 -0.45076002  2.12984172 -0.64204153  6.05210628 -5.25322766
 -2.76632907  1.84756285 -1.45399262  1.52016421  1.02671661  3.5630918
 -0.68586795 -0.90177191  0.70430013  1.86567096  1.58255843 -0.97093446
  3.29942364 -0.67580394  1.4294965   1.48318851  1.52751675  0.81181061
  1.5729635  -1.0776265   3.37044306 -0.82258298 -4.15410612  4.11144688
 -3.3721624   0.82073559  0.19811099  3.56794568  5.05611856  1.09617569
 -0.93207774  0.5608499   1.45464789 -0.70598685 -0.71505053  0.29011924
  3.76101568 -2.67468111 -6.45673424  0.12368918  1.35241337 -2.33301092
 -1.63893214  2.8604595  -2.80772083  3.71794383  2.30748843  2.85550003
 -4.30174107  0.12423464 -0.5695376  -1.70057826  3.19177726 -0.09409992
  0.17889993 -1.54313553  1.86860676 -0.94173692 -2.44494768 -1.04995701
  6.37874177 -1.42383074  0.54223174 -4.43728211 -0.37256004  0.97714696
  2.27711424 -0.26210989 -1.92351103 -4.40348895 -5.24556229  1.46920169
  1.47935203 -4.36042311 -0.14029954 -5.59328065  0.62999366  0.48244722
 -2.33139845 -5.57966802 -0.59896381  4.31295216  1.21369182 -0.83455544
  3.03537188  1.40093013 -1.79714298 -3.45494256  3.57108157 -0.23246173
  1.46924053  3.70436694  5.01189519  0.05513811  5.11762496 -3.00278419
  0.63283995 -0.79243778  1.80021101  4.05530848  1.3279012   1.76713715
  0.39951356  3.76569233  0.96423963 -5.89772996 -1.09516829  0.25863025
 -0.17671484  1.8837243  -0.767847   -2.44666074 -6.38850551  3.50155737
  3.94038599 -0.54763067  1.55567908 -0.26839915 -5.06588718  3.01876215
  3.25503414 -0.45131432 -1.32509893 -1.73991909  4.49157877 -4.12637075
  0.31850917  3.27947958 -0.9431219  -1.31004561  4.43822659 -2.33403861
  1.58414267  0.81742277  3.96355197  0.77238032  4.69395068 -2.6683779
 -1.7108476   0.4398372  -0.35752655 -3.63052359 -2.15918946  2.90220566
  2.79562222  2.14973323  0.19337395 -0.46275283  1.309054   -2.53777311
 -0.28071629  1.46215657 -0.2519091  -2.19037545 -2.17655185  0.85587382
  0.50819451 -0.60487681  3.04175107  3.26339666 -0.0417583   0.01093644
 -2.38201471  1.38438867  3.01852611  0.6779766   0.54617687 -0.26461676
  0.5483226  -2.37500506 -3.76776158 -0.29836981 -2.05808255 -4.17702568
  0.87937627  3.47857249  3.12879799  0.54757004  2.83340133 -0.49019471
 -1.69951833 -0.52127219 -2.97397341 -2.00019665 -0.46886561 -1.49099602
  0.56491209 -1.85359864  0.06563165  3.33703119  5.14375859  0.38441837
 -0.75417718 -0.54028255  4.25766426 -3.07966981  0.96878133 -0.96211704
 -4.18716204 -4.50223987 -2.28898776  0.87959089 -1.75660423  2.01990693
  1.28190498 -5.09431951  0.02866015]",46.147130778342046,42,0.0010180473327636719
6,629,pytorch,6290,246,"[ 5.82703645e-02 -3.86082921e-01 -4.92085945e-01  1.27625440e-01
 -1.11917478e+00  2.39847572e-01 -6.78059042e-01 -5.44896363e-02
 -6.02149373e-02  9.85941096e-02  2.66405149e-01  6.99656545e-01
  8.95753089e-02  5.81995710e-01 -5.46571954e-01  8.46181040e-01
 -1.07229893e+00 -1.29426901e+00 -4.01333293e-01  1.03026757e-01
 -4.65357993e-01 -2.02201759e-01  1.00285840e-01  5.70013836e-02
 -7.52565477e-02  2.35905595e-01  2.01383921e-01 -1.10719868e+00
 -4.89514053e-01  5.98226122e-01  1.28234925e+00  5.42602153e-02
 -7.05036252e-01  5.84035621e-01  4.05649930e-01 -1.29867091e+00
  2.07922271e-01 -9.33794926e-01 -4.19240034e-01  4.97897485e-02
  8.74912045e-01 -5.75176850e-01  2.67516109e-02 -5.03855282e-01
 -3.52858552e-01  9.03863987e-01  6.22833559e-01 -1.24563524e-01
 -4.19558124e-01  4.89723856e-01 -6.40136333e-01 -2.29889924e-01
  5.15417986e-02 -7.59682762e-03  3.80043667e-01 -6.42681126e-01
  2.77626547e-01 -2.09749009e-01 -4.55028672e-01  6.60406215e-01
 -4.98957591e-01 -6.44271126e-01  1.27961123e+00 -5.69505970e-01
  2.00518518e-01 -7.28675163e-01 -6.99914422e-01 -8.19884910e-01
  1.31531259e-01  3.13626120e-01  1.37016731e-01 -3.95076371e-02
  4.28172997e-01 -1.35455337e-01 -2.57363335e-01  8.25505114e-01
  4.00568208e-01 -1.12783971e+00  6.09401242e-01  1.01033652e-01
 -7.34005359e-02  2.90660182e-01  4.51819574e-01  1.03583582e+00
 -5.54526357e-01 -1.20260470e-01 -1.96876907e-01 -3.29081615e-01
 -1.22648782e+00  4.19618071e-01 -3.71401063e-01  3.91699241e-01
  3.03981313e-02  1.58864028e-01  1.20327682e-01  3.86115395e-01
  8.58882728e-02 -7.51533034e-01  7.74840620e-01  7.65986205e-01
 -7.92051280e-01 -1.37733949e+00  2.01803796e-01 -2.76549799e-02
  7.91159798e-01 -1.09574278e+00 -2.44413897e-01 -7.78144827e-01
  4.64330658e-01 -5.58416928e-01 -1.06264442e-02  1.64444990e-01
  2.97078753e-01 -8.11475117e-02  2.83932699e-01 -7.11725465e-01
 -6.41644772e-01  7.40926934e-01  3.13875592e-01 -2.99592771e-01
 -3.75143445e-01  6.09214807e-01 -1.15334949e+00 -5.39850780e-01
 -1.99090961e-01 -2.54495385e-01  3.00177049e-01  5.26756850e-01
 -6.37241599e-01  2.50198336e-01  3.49254140e-01  7.74536354e-01
 -1.62581153e-01  9.42229129e-01 -1.46828228e-01 -2.48755793e-01
 -2.12250869e-01  3.36425700e-01  3.46279581e-01 -1.38711106e+00
  8.46551455e-02 -5.57209125e-01  1.15176703e-01 -6.56766542e-02
 -6.15970882e-01 -7.44206627e-01  2.65947145e-03  5.87385676e-01
  3.14979718e-01  1.68918788e-01 -1.08952996e+00 -1.40392886e-01
 -3.50999001e-02  1.85257859e-01 -1.81675947e-01  6.35929981e-01
 -1.33070406e-01  5.71973592e-01 -1.82691605e-01  1.02212715e+00
 -1.27694588e-01  1.87536577e-01 -4.59836285e-01 -6.55428763e-01
  5.68445544e-01  7.72576448e-01 -9.84256670e-01  8.22286648e-01
 -4.19824764e-01  5.09794539e-02 -5.87498748e-01  3.45140864e-01
  8.21537722e-02  9.00457098e-01 -6.89204105e-01  9.26995408e-01
 -3.39213363e-01  6.37924405e-01 -2.32429340e-01  9.78268255e-02
  7.44828371e-01 -7.87897324e-01 -9.13525472e-01 -1.18394255e+00
  3.74433798e-01  3.27688064e-01 -6.26811372e-01 -2.87043697e-01
  1.91782069e-01 -3.34240971e-01 -8.90210821e-01  9.37296010e-02
  1.11647706e-01  8.57756797e-01 -6.93406141e-02 -9.95259651e-01
 -7.12232010e-01  7.88077828e-01 -4.47778282e-01  2.44287091e-01
  8.15781432e-01  2.60016215e-01 -7.96421037e-01  6.02086013e-01
 -4.31539149e-01  2.83860642e-01  4.96992545e-02  9.08342873e-02
 -8.40641404e-01  8.96280885e-01 -6.57911138e-01 -8.32738436e-01
 -9.06023847e-02  7.65503942e-01 -4.45324984e-02  4.28137948e-01
  5.07302655e-01 -6.11577409e-01  4.36616737e-01 -1.48049693e-01
  7.16641565e-01 -2.23126378e-01 -4.40727522e-02  4.23177142e-01
 -1.13430672e+00  6.68029908e-02  6.07146502e-01 -2.09013424e-01
  6.61716754e-01  2.87339731e-02  7.30652271e-01 -1.16522603e+00
 -2.56001411e-01 -4.67999387e-01 -6.20795865e-01 -3.49319043e-02
 -9.16447870e-01 -7.23295019e-01 -2.73183692e-01  1.83148147e-01
 -8.88835976e-01 -1.11308678e+00 -8.43583067e-01  7.72174929e-01
  1.33228440e-01 -8.32501749e-01 -1.57856462e-01 -9.08067761e-01
  4.60261836e-01 -1.41437969e-01 -3.77322174e-01 -4.57303651e-01
  7.31213098e-01 -9.05211290e-01 -1.03342992e+00  1.87337521e-01
  8.79156992e-01 -1.88739844e-01  1.16125090e-01 -2.07923463e-01
 -4.76199880e-01  9.48056810e-01  7.44761914e-01 -3.10563388e-01
  7.47577508e-01 -4.42589512e-01  1.55210877e+00 -2.88790634e-01
 -3.48828807e-01 -2.29124866e-01 -2.44509848e-01  1.52436169e-01
 -1.32620920e-01  8.88281814e-01 -4.51675400e-01  9.87723713e-03
 -3.20786912e-01 -1.67399533e-01 -2.32806276e-01  3.06419704e-01
  5.74119655e-01  1.64655287e+00  1.52884658e-01  1.55273097e-02
  1.05338382e+00  6.68546621e-01  7.70535809e-01  3.15127497e-01
 -6.74427793e-01  3.90509640e-01  6.75527831e-01 -2.77837084e-01
 -5.35232870e-02  1.11306128e+00 -9.05405096e-01 -5.97975073e-01
 -1.22667722e+00 -2.64147401e-01  4.61122598e-01  7.02266117e-01
  1.91246851e-01 -6.81565665e-01  7.13845700e-01 -3.47603373e-01
 -4.43996947e-01  5.47851155e-01  2.17882488e-01  6.08244957e-02
 -5.85193987e-01  3.14544460e-01  8.08197523e-04 -3.13283657e-01
 -3.37988426e-03 -7.17893197e-01 -3.85227274e-01  8.56530062e-01
 -1.51115200e-01 -6.45281176e-01 -1.18075392e-01  1.38691241e-01
  2.78550496e-01  4.47255859e-01  1.17420074e-01 -1.21215431e+00
 -4.35407268e-02  4.83559404e-01  8.64506935e-01  1.18395188e-01
 -3.05778070e-01 -1.19783043e+00 -9.36080887e-02 -1.47291513e-01
  7.48835148e-01 -4.60928246e-01  7.38521935e-01  3.31076946e-01
  8.57937069e-02  4.80471233e-01  7.94778087e-01 -3.98112942e-01
 -8.70202964e-01 -9.58052547e-01  5.64146287e-01 -1.01119964e-01
 -6.65611100e-01 -2.61554798e-01 -2.27281824e-01 -1.18415200e+00
  8.48724557e-01  1.61365144e-01 -5.81700968e-01 -3.99836699e-01
  1.14557404e+00 -7.72459628e-01  3.13125014e-01 -5.80865614e-02
  1.01924392e-01  1.03522051e+00  2.26873414e-01 -9.43479618e-01
  1.05631673e+00  4.10497003e-01 -8.15389516e-01 -1.02850989e-01
  9.64041820e-01 -2.37852108e-01  1.97919420e-01  1.96655392e-01
  1.19174961e-01  7.47120899e-01 -1.12558412e-01 -1.85170638e-01
  7.04005941e-01 -4.77279108e-01  1.04876396e+00  5.67159381e-01
  1.14799557e+00  3.96260709e-01  1.88942866e-01  4.51993401e-01
  8.47874915e-01  7.84616022e-01  6.36567025e-01 -7.59900350e-02
  1.31679549e+00  3.37521012e-01 -7.86585132e-01  2.36214237e-01
 -7.75834097e-01  1.62287514e-01  1.82927011e+00  2.63014138e-01
 -5.94329977e-01 -1.85941196e-01 -7.49790964e-01  8.40307293e-01
  5.73585057e-01  6.67324188e-01 -3.95308382e-01 -7.96634406e-01
  3.36911679e-01 -3.55565883e-01  3.31705418e-01 -8.29910529e-02
  1.09217064e-01 -9.00735852e-01  1.13490355e-01  2.58489112e-01
  2.60289270e-01 -1.44736077e+00 -2.06315145e-03  6.41409314e-01
  7.08682235e-01 -3.88658018e-02  1.64830155e-01  3.61973716e-01
 -1.15627956e+00  6.22450725e-03 -1.90766385e-01 -6.37030878e-01
  6.12058938e-01 -6.88337047e-01 -3.58055534e-01 -1.27443366e-01
 -4.47369869e-01  7.66597685e-02  1.93551283e-01 -1.69584939e-01
  3.01452179e-01 -3.39610377e-01 -2.48327895e-01  1.45321470e-01
  4.61505824e-01 -4.71925773e-01  4.06222831e-01 -1.02314017e+00
 -8.20609670e-01  6.14299667e-01 -7.54831915e-01  2.38297309e-01
 -1.78840068e-02 -1.15847377e+00  9.27873985e-01 -2.27230509e-02
 -9.27696001e-01 -7.06731094e-02  4.33333454e-02 -1.21109264e-01
  4.02543931e-01 -4.35196181e-01 -1.59607488e+00  1.86189390e-01
 -1.06140685e+00 -3.92840959e-02 -8.73597643e-01  1.90992413e-01
 -3.35766102e-01  5.20261052e-01 -9.61061263e-01  1.51564791e-01
  3.18534498e-01  5.11725140e-01 -4.46741197e-01  2.83884616e-01
 -8.77410613e-01 -1.67285782e-02 -3.05258611e-01  4.09522169e-02
  5.54968830e-01  8.99741829e-01 -5.92187700e-01  8.05754865e-01
 -9.45649460e-03  4.67592090e-01  5.01863390e-01  4.94110290e-01
 -5.03798507e-01  4.94279352e-01  8.16172457e-01 -6.29167611e-02
  4.92264440e-01  8.83157122e-01 -7.99572251e-01  9.21028949e-01
 -1.14820623e-01  8.32161531e-01 -1.69767598e-01 -1.15589130e+00
  1.62080944e-03 -5.11362511e-01 -1.40092174e-01  4.93747284e-01
  6.41324137e-01 -6.15230721e-01  2.67064732e-01  4.20734269e-01
 -6.38940269e-01 -5.16474943e-01  4.06812868e-01  9.99852077e-01
 -1.80177660e-01  1.49810843e-02  2.50290449e-01  1.08137886e+00
 -9.75401131e-01  4.47811511e-01  1.92258098e-02  6.58249516e-01
 -3.34125917e-01  6.32792190e-01 -1.38076670e-01 -2.88580932e-01
  1.08644094e-01 -1.01335481e+00  9.74771260e-01 -5.25995596e-01
  6.42564729e-01  1.57054577e-02 -5.78801924e-01 -1.49373664e+00
 -1.05732092e+00  3.03162691e-01 -6.08621589e-03  7.33260823e-02
 -1.16240812e-01  1.91159991e-01 -4.36339841e-01 -7.05653664e-01
 -2.36005651e-01  8.61055220e-01  2.63821283e-01  3.54949699e-01
  4.12803694e-01  6.66911843e-02 -2.33835843e-01  8.03332001e-01
 -1.11439747e+00  2.62409379e-01 -6.07904932e-01 -5.84059228e-01
  2.26151956e-02 -6.89948766e-01 -2.18522328e-01  2.29981505e-01
  2.99910087e-01  6.97903864e-01 -8.87164369e-01 -1.44657046e-01
 -2.64452841e-01  2.12598861e-01  3.24113943e-01  9.58853301e-01
 -8.54021448e-01  6.01515482e-01  1.48771869e+00 -6.55964584e-02
 -1.11394653e+00 -1.02735917e-01  3.34326101e-01  2.03457012e+00
  1.59652087e-01 -4.99864974e-01 -1.36669294e-01  4.02764410e-01
 -6.45394379e-01  1.41922973e-01  7.16776305e-01 -6.36963341e-01
  7.85588719e-01  6.21105681e-01 -1.26396474e+00  3.61190641e-01
  4.69996678e-01 -9.98581304e-01  6.53381262e-01 -1.81394049e+00
  5.54943424e-01 -3.10896235e-01 -4.53567309e-01  1.84557826e-01
 -1.33721816e-01 -5.70142074e-01  6.64682761e-02 -8.17803148e-01
 -1.44629336e-02  3.60005250e-01  3.21028213e-01 -1.65183979e-01
  5.91380511e-01 -1.13044062e+00 -3.46665961e-02  7.31200413e-01
  6.46862934e-01  2.34747522e-02 -2.79746893e-01  5.83593914e-01
 -3.74472702e-01  5.18463249e-01 -4.05847036e-02 -5.42454973e-01
 -2.33932671e-01  1.43326769e-01 -3.38426890e-01 -1.40916035e-01
  1.19997640e+00 -3.60948476e-01  3.73275499e-01  5.51517884e-01
  6.80231322e-01  6.46862036e-02 -1.80136488e-01  6.76221900e-01
  5.51438616e-01 -3.86485891e-01 -9.52151194e-01  2.93779005e-01
  4.61679018e-03  6.30346784e-01 -8.56596636e-01 -4.69246187e-01
  8.30327262e-01  5.37344069e-01  6.64200949e-02 -5.62381767e-01
  8.15705348e-01 -7.44662516e-02 -1.01896186e+00  4.74611196e-01
 -7.98291534e-01]",15.19863847262359,42,0.003408193588256836
7,1256,pytorch,12560,64,"[ 0.16958097 -0.03017611  0.06502309 ... -0.12196868 -0.07300544
 -0.18228702]",3.9797760243186038,42,0.013471364974975586
8,2506,pytorch,25060,8,"[-0.00592505 -0.00501203 -0.0043129  ...  0.01470732 -0.01325197
 -0.00983674]",0.5049717742864983,42,0.0873258113861084
9,4999,pytorch,49990,2,"[-0.00241745  0.00091228  0.00334813 ... -0.00127758  0.00071147
  0.00036128]",0.12618260399107087,42,0.509009838104248
